what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354449409087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449410272
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449411100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1354449411261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449411275
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449412714
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354449425459
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449425755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449460551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449469102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449469457
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449471047
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354449472882
error,log,,,"Failed to load properties file for project 'XML tests'",1354449473016
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449473024
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449473070
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354449473084
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449474654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354449482199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1354449484311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449486104
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449495467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449495490
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449499060
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449500549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449519780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449867207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354449872337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449895029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449896782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449897057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449899801
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354449903672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449905000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449905267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449907017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449907854
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449910049
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1354449914732
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449921361
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449925541
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449925616
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449928920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1354449963273
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1354449970950
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449974613
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354449976974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449979330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354449985649
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1354449987497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354449990258
